,Time,Text,Sentiment
62,2019-01-05 23:59:39+00:00,"win signed paperback, ebook amazon giftcard author abby gordon via abbygordon","[64.71215902574228, 42.72454205481851, -10.098083869527883]"
63,2019-01-05 23:59:36+00:00,sweet justice andrew smith via amazon,"[32.40746306142997, 19.04818070296043, -12.126141104065326]"
64,2019-01-05 23:59:24+00:00,"an excerpt book ""to hold the light"" all of my books available amazon️ st. george, utah","[37.904193144130495, 28.226080653425257, -9.840308197983262]"
65,2019-01-05 23:59:21+00:00,love fantasy &amp; scifi? win amazon giftcard this month mega bookbub giveaway via sffbookbonanza,"[53.952202280835486, 28.449250595483036, -11.509566035645719]"
66,2019-01-06 23:59:54+00:00,"amazon today’s offers avail daily deals wide range mobiles, apparels, ... via","[74.16788006577389, 44.55339286498393, -9.611395571289734]"
68,2019-01-06 23:59:50+00:00,jewish &amp; nazi shoah u boat catchers an amazing tale holocaust betrayal... via amazon,"[54.638700217789854, 18.860379990122787, -12.103767202621626]"
69,2019-01-06 23:59:49+00:00,made high quality stainless steel contoured handles soft grip hollow ground edges [...]read more... offerstree amazon discount,"[47.023934112216914, 57.048103276185934, -12.044538899861266]"
70,2019-01-06 23:59:40+00:00,newrelease southbound ellie danes hostedby rrrpromotion readreviewrpt amazon genre billionaireromance goodreads,"[11.827514314622002, 11.747076129694113, 0.0985056736504788]"
71,2019-01-06 23:59:37+00:00,duhemsounds creative orchestral / sound design videogames music covers. musician artist youtube spotify deezer itunes amazon,"[72.90328905039154, 56.762136992937315, 1.639795418853339]"
72,2019-01-06 23:59:32+00:00,enter win second look author julie coulter bellon paypal amazon daysofcleanromance,"[45.248500808145074, 32.36629471606063, -10.869988336927292]"
73,2019-01-06 23:59:28+00:00,"andyswan another vote sears. they amazon their time, early catalogs, early retailer stores, malls. and look all the carve outs sears &amp; kmart. near dead now, sears a great run.","[76.35558110734331, 40.85290192017159, -9.703454617230264]"
74,2019-01-06 23:59:28+00:00,"great read racism the great american pastime my soul cries out freddie hudson jr.. in spirit full disclosure author my cousin, whom i very proud. the book available amazon paperback kindle versions.","[66.98453976232848, 53.03481589821483, 45.006758121699065]"
75,2019-01-06 23:59:24+00:00,secretlykinkycb how you get info your amazon account. i’ve having trouble figuring what info subs need send gift cards.,"[48.776861604397546, 47.93227752969581, -10.439505888150606]"
76,2019-01-06 23:59:23+00:00,patiently waiting amazon still ship your book inthefrow considering buying i read now,"[25.853478496498003, 25.93967821453711, -9.55699203038779]"
77,2019-01-07 23:59:48+00:00,this why flying spaghetti monster made netflix amazon prime. back my rewatching justified binge.,"[29.60806036407809, 21.908680951875596, -11.47781468406265]"
79,2019-01-07 23:59:43+00:00,recap monday amazon netflix push wall street higher via street insider,"[62.63221847349141, 52.059154874947176, -9.761135225470639]"
80,2019-01-07 23:59:40+00:00,in evening kakicchysmusic mp downloads amazon prime,"[21.606753558887835, 9.975802642792814, -11.193984464051404]"
81,2019-01-07 23:59:40+00:00,funder amazon prime,"[21.902767910012567, 11.747076129694113, -11.386524305000997]"
82,2019-01-07 23:59:35+00:00,i liked youtube video i bought amazon return box in person,"[16.167875261827707, -5.80477554911046, -11.328201726830272]"
83,2019-01-07 23:59:34+00:00,win signed book amazon booktour giveaway bookboost futuristic urban drama lsalt sdsxxtours,"[54.34922335789992, 41.743712801806765, -10.851855671904275]"
84,2019-01-07 23:59:33+00:00,"versusthestream it took while via play asia. they also sell same hori drum amazon, it a bit pricier tends go of stock often","[51.86128530060203, 38.3050098169559, 4.218264140043274]"
85,2019-01-07 23:59:31+00:00,"amazon’s latest cloud product dangerous cisco dell really scary hewlett packard enterprise, analyst says","[39.78062313732395, 41.98105157749479, -11.321316851216224]"
86,2019-01-07 23:59:30+00:00,seattle city council members visit new york to warn about amazon hq,"[29.713503024288617, 59.77926673809604, -9.670946376996937]"
87,2019-01-07 23:59:25+00:00,the secret ingredient always love. calivalley home kitchen lifestyle knives whestone knifesharpener blades bladeedge siliconbase bamboobase nonslip angleguide safeblade chop slice knifesharpeningkit dullblades razors chisels clipper gift recipe amazon,"[33.21245865583587, 31.032285644634015, -0.034628930927652846]"
88,2019-01-08 23:59:57+00:00,dangerous goods regulations dgr international air transport associa... via amazon,"[42.887675401389465, 32.37915032398279, 0.8115819642200108]"
90,2019-01-08 23:59:51+00:00,bruhmoments when order one book amazon,"[16.847592956545622, 7.675861596485817, -10.971416682125636]"
91,2019-01-08 23:59:48+00:00,"in today’s tv news roundup, amazon sets release date upcoming docu series “lorena.” first looks netflix released trailer season five of...","[60.011670597719466, 59.03124052830063, -9.352447907330557]"
92,2019-01-08 23:59:44+00:00,agsharong ssuramar fairimmigration foxnews idk. we seem be bad keeping track visa’s. fed ex amazon keep better track packages,"[72.73891138862346, 16.368042969734887, -2.8053865673713005]"
93,2019-01-08 23:59:40+00:00,good smoke kakicchysmusic mp downloads amazon prime,"[33.56620038930248, 11.469689330139566, -12.253843136387118]"
94,2019-01-08 23:59:35+00:00,"to hell “birdbox” watch “annihilation” instead. it’s one the best alien horror movies i’ve ever seen, it’s amazon prime right now.","[52.07881076722142, 42.95789059100072, -10.74700319033171]"
