,Time,Text,Sentiment
63,2019-01-05 23:59:40+00:00,"i liked youtube video why i left my , job google","[-6.622767684722784, -4.227035927189206, -11.715307488958985]"
64,2019-01-05 23:59:40+00:00,"thefootballgirl so dumb. they play dixie? did just google ""civil war songs"" choose first one came up? tasteless really.","[35.17744731055833, 5.848551662651488, 2.611969099198589]"
65,2019-01-05 23:59:39+00:00,jdmarvin emrazz freedom moates google it. we not mommy,"[-0.6719777244404697, 7.816850310499582, -11.979519358571409]"
66,2019-01-06 23:59:50+00:00,"tisarwat google maps walk me, slow, sluggish gay","[20.184257142578595, 19.66890320241827, -10.148977206637284]"
68,2019-01-06 23:59:48+00:00,when google trips alerts &amp; reminds that re gonna on beach daytona your belly with shame a days. f.r.e.s.h book festival author…,"[32.823795804052374, 25.848475493258803, -9.371145220301273]"
69,2019-01-06 23:59:48+00:00,now playing j. irja goin ghost dl app google play &amp; ios apart the movement also tune in live fri &amp; sat pm am,"[21.981901045702944, 33.91843966984736, -8.346082042153697]"
70,2019-01-06 23:59:48+00:00,"redplanet sorry, google translate","[8.87281133381465, 10.601676555121465, -11.879802658161367]"
71,2019-01-06 23:59:47+00:00,i m looking at my google photos from and i forgot i did this in target,"[-1.1493139196544988, 6.071472033568256, -9.8158608383863]"
72,2019-01-06 23:59:35+00:00,i to google that curse and internet stealing little innocence i left,"[16.412079083735396, 23.18024027819135, 0.4403491631784249]"
73,2019-01-06 23:59:31+00:00,this google chrome extension change every picture donald trump kittens via businessinsider,"[40.57561960994875, 28.649048027309647, -9.401136627953164]"
74,2019-01-06 23:59:30+00:00,"google drive has serious spam problem, but google says fix coming","[24.049911589645337, -3.843295388664558, 1.3323690405633073]"
75,2019-01-06 23:59:29+00:00,i really need delete pics google photos dawg,"[19.19698070032283, 19.092941214615493, -10.370451420518378]"
76,2019-01-06 23:59:27+00:00,"burdsivue i a google home almost every room my house. i, one, welcome new smart home overlords.","[17.616226979933177, 12.248982159296006, -11.612596127497198]"
