,Time,Text,Sentiment
54,2019-01-04 23:44:06+00:00,marben my oracle financial orbit shahil asibiza notayesmansecon marxnd benbgatech ronniechopra elerianm theidleinvestor toddwenning robertstgeorge robertjshiller halsrethink ciovaccocapital thebubblebubble reformedbroker contrariansmind livesquawk michaelschuman nickbatsford cnbc reutersjamie m mcdonough jonsanchezshow marketwatch mattbird dianaepatterson brilliantleader zakstraderscafe cnbcnow ftvideo zerohedge bbcbusiness sentifi uk lordshipstrade nypost ichronicle simonlambert thisismoney goldmansachs rcwhalen paypal peterthiel economics hedgeye dlacalle ia portfadviser pcg a . billion mkt cap co. mt cnbcnow breaking pg&amp;e plunges reuters reports it exploring filing or of business bankruptcy protection it faces billions liabilities related fatal wildfires utility,"[127.70620266355031, 135.28266137031267, 4.808666847327075]"
55,2019-01-05 23:58:11+00:00,"meetthepress mickmulvaneyomb sensanders lindseygrahamsc meetthepress cnbc ft goldmansachs jpmorgan facethenation foxnews colbertlateshow snlupdate senategop trump mexico will be ""happy"" to pay for wall","[29.02540335171766, 28.63514002468125, -9.66333263317415]"
57,2019-01-05 23:31:10+00:00,amazingatheist the fight on she’s new york goldman sachs going lay handover top earners im not defending ultra rich bc can’t take on will get money she needs the working and middle class,"[24.62836319314484, 33.15690264733534, -7.989944914505898]"
58,2019-01-05 23:28:16+00:00,"kimdotcom george soros, rothchilds, ford s, goldman sachs....list goes n on.","[31.520416855330996, 11.02317499102736, 0.442115268376817]"
59,2019-01-05 23:13:36+00:00,mrjpublications pebbleslondon pharmtechtom lbc matthewstadlen the head goldman sachs president its europe investment devision resigned he t relocate ireland ... i guess recruiting someone else it now. you re really naive your assessment. but good luck that.,"[50.24136039133719, 38.369128423652214, 0.8472366562045153]"
60,2019-01-05 23:12:39+00:00,goldmansachs because sexism. next question.,"[-1.7401879804069573, 8.18515999007274, -11.08956198725945]"
61,2019-01-05 23:08:48+00:00,"ambarosie darren britainelects yougov i would suggest collapse freddie fanny us, the toxic borrowing companies as bear stearns/goldman sachs more an issue. also, the liquidity banks falls the remit the boe, was made independent the last labour govt.","[79.94807733278991, 96.65004102383988, 15.629133004670436]"
62,2019-01-05 23:06:32+00:00,remember neoliberals to neck this. goldman sachs their partners drug laundry the ultra right.,"[18.157645200761696, 30.734151639430806, -10.939173517102006]"
63,2019-01-05 22:59:50+00:00,frankruiz repcohen how ya ever going drain swamp all employs goldman sachs &amp; fox?,"[10.746585471227409, 8.561024865034248, -11.115925077835726]"
64,2019-01-05 22:53:02+00:00,cryptopoland circlepay circleinvest goldmansachs am afraid might right..,"[6.0452481757398155, -0.5406269562786581, -12.293781373827287]"
