,curr_close,prev_close,pos_sentiment,neg_sentiment
240,1760.939941,1760.329956,0,0
241,1769.209961,1760.939941,0,0
242,1790.660034,1769.209961,0,0
243,1784.030029,1790.660034,0,0
244,1792.280029,1784.030029,0,0
245,1786.5,1792.280029,0,0
246,1793,1786.5,0,0
247,1789.209961,1793,0,0
248,1868.77002,1789.209961,0,0
249,1869.800049,1868.77002,0,0
250,1846.890015,1869.800049,0,0
251,1847.839966,1846.890015,0,0
