,Unnamed: 0,Time,Text,Sentiment
70,70,2019-01-06 23:59:46+00:00,they need kingdom hearts land disneyland. instead the disney castle can add castle oblivion,"[50.773758040766275, 60.9970236520553]"
71,71,2019-01-06 23:59:42+00:00,will society start treating harry potter obsessed adults same as disney obsessed adults????,"[34.64055085924576, 30.30866453752788]"
72,72,2019-01-06 23:59:40+00:00,findsaylorster people whining aren’t going pay greedy disney their plus plus sig annual pass every day max pass blah blah we priced of lowest annual pass years ago that’s just how is.,"[76.9820910757549, 54.05263642020501]"
73,73,2019-01-06 23:59:36+00:00,daniella fine only disney music playing the background,"[-1.6546642252145844, 13.974896503789806]"
74,74,2019-01-06 23:59:33+00:00,"“there more treasure books in the pirates loot treasure island best all, can enjoy riches every day your life.” walt disney","[11.953088982091632, -7.327753322475695]"
75,75,2019-01-06 23:59:33+00:00,wdwrah maybe suggestions aren’t families kids? maybe they’re people attend disney parks without children?,"[28.34591649777494, 10.799504151052693]"
76,76,2019-01-06 23:59:32+00:00,"so year disney live action remakes their animated movies dumbo, aladdin, the lion king marvel flicks captain marvel, avengers endgame, spider man far from home as well toy story , frozen star wars episode good try all, culture war over","[39.74043503324523, 90.49472910627321]"
77,77,2019-01-07 23:59:58+00:00,pacevanrign disney,"[-0.8232934458804106, -1.1148370569362422]"
78,78,2019-01-07 23:59:57+00:00,disney movies see the disney marvel pixar movies,"[9.03773845042922, 6.999551252905205]"
79,79,2019-01-07 23:59:56+00:00,disney news review new menu debuts backlot express disney’s hollywood studios like comment,"[31.204068893959718, 51.025963490298054]"
80,80,2019-01-07 23:59:49+00:00,have ever dreamed going a disney cruise visiting walt disney world resort florida in one vacation? click link enter your chance to win two magical vacations people all...,"[81.91291742368333, 27.500966781162195]"
81,81,2019-01-07 23:59:45+00:00,"why t ""really good navigating disney parks"" marketable skill? i be set.","[8.618012654553013, -1.686752406702981]"
82,82,2019-01-07 23:59:44+00:00,cqofficial hannahmrozak lukefontana omg should watch the disney movies together,"[-4.799813565973603, -3.7093619309366535]"
83,83,2019-01-07 23:59:43+00:00,welcome walt express live today nick eyman be taking through latest disney rumors news. feel free share your friends catch us or...,"[41.53155899146655, 45.559941138716745]"
84,84,2019-01-07 23:59:37+00:00,"happy birthday hpfefferiii thanks dinners, disney trip, opening house us crazies the cheers the stands. you’re the best","[16.365828629358948, 13.970751456334304]"
85,85,2019-01-07 23:59:37+00:00,abc owned disney forced american workers train foreign replacements.. they both dead i went to disney orlando many times before..,"[69.20345061759346, 33.63011274481428]"
86,86,2019-01-07 23:59:33+00:00,i wanna go disney land valentine’s day the next years,"[-1.6903398447834832, 5.113599605729112]"
87,87,2019-01-07 23:59:31+00:00,"ecksdeesd facts i feel like worlds put kh missed mark... i haven’t seen tangled, big hero , wreck it ralph, etc. do i really urge see films… i want disney classics. not new age stuff. it doesn’t the kind magic the way classics do.","[44.84680126959696, 54.87324072162745]"
88,88,2019-01-08 23:59:59+00:00,"redsinister grimphantom inc jaxbladefitness if anything, i see airing toonami, seeing this sony show not disney s.","[22.847207669082426, 32.28975769929129]"
89,89,2019-01-08 23:59:57+00:00,"themeparknews . ok, muppet vision d s really easy do, simply theming new d movie based the latest film, the muppets now fully owned disney property now can what want with them.","[27.111903905411953, 41.3708508378899]"
90,90,2019-01-08 23:59:55+00:00,movies i need see theatres captainmarvel avengers lion king aladdin just take my money disney,"[29.70995621608738, 31.47408679160809]"
91,91,2019-01-08 23:59:50+00:00,if disney some ideas a live action remake this one theblackcauldron disney remakes,"[7.03360768532301, -5.156728000589789]"
92,92,2019-01-08 23:59:44+00:00,"patagonykus in the muppet movie, kermit driving big bird walking the side the road waves him, he waving he been abandoned his muppet family is driving disney world","[26.626511959501432, 19.228538817508397]"
93,93,2019-01-08 23:59:42+00:00,briiiibrown yes actually haha i want make video soon what i’m nowadays my disney subscribers know i haven’t totally fallen the face earth lol hopefully the next two weeks so excited to share details soon,"[27.37898055468678, 25.963546517434626]"
94,94,2019-01-08 23:59:42+00:00,mjfree nooo they absolutely cannot disney world.,"[0.4434275268133703, 11.330285032639543]"
95,95,2019-01-08 23:59:38+00:00,chriseliopoulos disney world?,"[11.059000063700807, 10.767456452644977]"
96,96,2019-01-08 23:59:34+00:00,starting think tonyschiavone right heyheyitsconrad doing better job promoting wrestling any promoter. few yrs be mlw ringofhonor aewrestling &amp; hopefully impactwrestling top companies. my prediction wwe goes way wcw it sells fox/disney,"[16.667850770122943, 31.013867348387908]"
97,97,2019-01-08 23:59:25+00:00,"paperstainedink i remember watching disney tv show a kid, winnie pooh my comfort cartoon too.","[18.199162230430776, 16.902594041236984]"
98,98,2019-01-08 23:59:21+00:00,move in &amp; move out cleaning special cleaningservice housecleaning housekeeping disney orlando tuesdaymotivation tuesdaythoughts tuesday news florida today realestate millenia orlandoflorida moving money sanford…,"[36.25672804644328, 28.610448244897018]"
99,99,2019-01-09 23:59:57+00:00,giullianofnsk manusayuri ferreira lare disney?,"[-1.163827870224604, -0.3743858461810367]"
100,100,2019-01-09 23:59:57+00:00,i know every theme song every disney jr show,"[19.907752143983142, 17.644770755188507]"
101,101,2019-01-09 23:59:55+00:00,"me, coming home my mom when the best month go disney? me","[-5.767723107552636, -5.206232553176912]"
102,102,2019-01-09 23:59:47+00:00,dandrezner this not disney movie.,"[-2.6450951459361987, 10.032861259400411]"
103,103,2019-01-09 23:59:38+00:00,"haku and mata hakuna matata sung timon pumbaa feat. simba first ""neverland"" this really love disney movie references","[11.812431859586692, 6.79146653866494]"
104,104,2019-01-09 23:59:06+00:00,naples ristorante e bar napolini pizzeria celebrate grand reopening the downtown disney district disneyland resort,"[22.8381771374027, 20.232173000610505]"
105,105,2019-01-09 23:59:05+00:00,hearing whispers scarlet witch &amp; vision show disney going be like the tom king vision book top runs btw . and that...is friggin amazing. now imma need to knock wanda up...,"[106.7650808419995, 110.29907156344358]"
106,106,2019-01-09 23:59:00+00:00,"richardhercher steeltow robertiger these still living wages these employees. if annual passes tickets went double digits, aren the faces disney, park employees getting livable wage? slave wages paid by the ""white slavers"" george lucas","[66.09860737753414, 51.78210758431667]"
107,107,2019-01-09 23:59:00+00:00,go a magic carpet ride disney aladdin arrives omaha runs january the orpheum theater →,"[66.66752977939598, 35.108739449951905]"
108,108,2019-01-09 23:58:57+00:00,check all magical experiences coming the walt disney world resort this year waltdisneyworld disney disneyparks centralflorida,"[8.585760414178285, 5.077350673323371]"
109,109,2019-01-09 23:58:51+00:00,"took boys disney springs today. it my first time going since big update, place massive. stefcabunny disney springs","[-7.637845005906963, -4.801975677850431]"
110,110,2019-01-10 23:59:46+00:00,i liked youtube video disney || i can go the distance michael bolton,"[17.40799489134785, 6.801418056429517]"
111,111,2019-01-10 23:59:39+00:00,aw someone take to disney ice,"[-2.860466835878536, -3.73288649280631]"
112,112,2019-01-10 23:59:37+00:00,anyone hook up cheap disney tickets plz,"[16.389647743211935, 17.932199338692318]"
