,Unnamed: 0,Time,Text,Sentiment
76,76,2019-01-06 23:56:32+00:00,microsoft next gen strategy leaks why sony quiet? – the primal podcast anaconda diskless halo infinite,"[22.31570901082498, 43.882001869632326]"
77,77,2019-01-07 23:59:59+00:00,"now hiring attorney investigator microsoft redmond, wa legaljobs lawjobs inhousecounsel","[8.881304301232742, 10.229247776178282]"
78,78,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.93762458446804, 55.318903464494745]"
79,79,2019-01-07 23:59:52+00:00,kroger microsoft partner connected store pilot,"[40.49435416055967, 41.30142283817195]"
80,80,2019-01-07 23:59:33+00:00,i liked youtube video permanently activate microsoft office pro plus without software &amp; product,"[27.792802999878962, 30.20403113311487]"
81,81,2019-01-07 23:59:33+00:00,microsoft announces unlimited private repos github free,"[20.836142060991495, 31.090024095624994]"
82,82,2019-01-07 23:59:25+00:00,sophielipstein microsoft well get em next time,"[7.968885251850641, 7.995174642172612]"
83,83,2019-01-07 23:59:08+00:00,i liked youtube video create bookkeeping spreadsheet using microsoft excel part,"[16.885129571694225, 17.558957087254345]"
84,84,2019-01-07 23:59:03+00:00,microsoft tweeting mino talent using ipad pro send stuff he surely make something great it 미노 위너 송민호 winner mino,"[28.420538400480527, 25.13710778319214]"
85,85,2019-01-07 23:58:33+00:00,foxnews the use microsoft is where finkd white plains ny use the facebook pages with the socialmediatraining erdal ozkaya heartbleed wormhole blamed the lizard squad. the use msft the ebay ocs amazon prime xbox who,"[64.44307306238568, 26.234519883140795]"
86,86,2019-01-07 23:58:33+00:00,is the future retail? we checked the new high tech grocery store microsoft kroger,"[36.51472173278481, 26.521196844461986]"
87,87,2019-01-07 23:58:28+00:00,aviatorchilly tdshuff twitch shame isn streaming microsoft flight sim x oh well,"[28.732337519385492, 20.246122790063072]"
88,88,2019-01-08 23:59:35+00:00,decafjedi microsoft took swing this but looks pleasurable tbh,"[28.559096862369007, 20.771676259012306]"
89,89,2020-11-23 15:22:11+00:00,"do self manage databases premises today? read vexpert blog azizaqeelvm understand rds vmware help set up, operate, scale databases improve productivity lower costs.","[102.41215412411215, 65.71314470116451]"
90,90,2019-01-08 23:59:17+00:00,"cve an information disclosure vulnerability exists the microsoft exchange powershell api grants calendar contributors view permissions intended, aka ""microsoft exchange information disclosu...","[97.55088828062364, 77.80979188410531]"
91,91,2019-01-08 23:59:12+00:00,"/bbcwbr] update amazon is the world most valuable public company amazon, formed years ago, eclipsed microsoft become world most valuable listed company. the online giant worth bn £bn the us stock market closed mo…","[108.3720164835738, 53.29265668178852]"
92,92,2019-01-08 23:59:00+00:00,former microsoft cio jim dubois sat with emergetbm talk his new book how companies need embrace risk more inclusive corporate cultures digital transformation to succeed.,"[70.4141785722823, 70.19178028825924]"
93,93,2019-01-08 23:58:36+00:00,new ebay microsoft xbox one s tb nba k console bundle white,"[39.38415620122414, 49.82894324315485]"
94,94,2019-01-08 23:58:32+00:00,"free webinar make switch skype business microsoft teams end user guidance january , , – pm ct designed skype business users. register today msftadvocate","[82.25877272771214, 114.06441804518032]"
95,95,2019-01-08 23:58:26+00:00,microsoft’s redmond campus modernization update demolition begins,"[30.845466498792657, 31.634908522836223]"
96,96,2019-01-08 23:58:13+00:00,"ayebarney hell man, microsoft paint come long way. one dream though","[14.046832086696543, 9.450335784231646]"
97,97,2019-01-08 23:58:07+00:00,time running did know support microsoft windows windows server ends january ?,"[14.880289089045608, 4.728154623314316]"
98,98,2019-01-08 23:58:01+00:00,"next week nrf new york city will showcasing microsoft dynamics retail operations, alongside capaxglobal booth . read latest blog further details . hitachisolutions microsoft","[58.73280080664289, 88.42966645240728]"
99,99,2019-01-09 23:59:49+00:00,chanezon microsoft azure azureadvocates sogrady wow thanks patrick. i t know to say. that uncommon kind. we just always believed developers matter should treated accordingly.,"[43.98823918673829, 38.40173044435712]"
100,100,2020-11-23 15:22:11+00:00,"do self manage databases premises today? read vexpert blog azizaqeelvm understand rds vmware help set up, operate, scale databases improve productivity lower costs.","[102.41215412411215, 65.71314470116451]"
101,101,2019-01-09 23:59:44+00:00,"razer microsoft consoles mainly bought used affordability, price tag ain’t gonna go well.","[26.854247497726465, 30.84543832047594]"
102,102,2019-01-09 23:59:41+00:00,"rt mscloud ""microsoft plans open first middle east data centers the uae, offering unprecedented opportunity digitaltransformation the region. learn ""","[49.00076179711065, 30.85652056648293]"
103,103,2019-01-09 23:59:07+00:00,microsoft teams getting added support firstline workers,"[40.76435843409802, 42.37099644462209]"
104,104,2019-01-09 23:59:05+00:00,jacqui murielwickenden madeleine maz sashaclarkson trebornaeth frederickone le bold ditterhansen ernnutt hrhtudor funny orchestra plays microsoft windows waltz via youtube,"[41.39183904086387, 40.8654933180624]"
105,105,2019-01-09 23:58:59+00:00,xbox game pass quests award microsoft rewards points,"[29.53267908636815, 41.24372665020908]"
106,106,2019-01-09 23:58:50+00:00,temporary microsoft employees get email adresses a dash the . people referred as dash trash internally.,"[44.9991065653554, 66.12649501165325]"
107,107,2019-01-09 23:58:14+00:00,"icoclast hey, shakti. we happy hear made switch which microsoft edge features your favorite far? microsoftedge","[42.96368785070066, 38.464281606381974]"
108,108,2019-01-09 23:58:08+00:00,call text jeff .six.four great condition ” imac macos sierra intel core .ghz quad core gb ram tb hdd amd radeon hd m facetime hd camera wifi &amp; bluetooth microsoft office audio amazing comes mouse &amp; keyboard,"[161.03224844358795, 128.90105765208514]"
109,109,2019-01-09 23:58:07+00:00,xbox boss talks partnership with amd future platforms microsoft’s head gaming phil spencer alluded future xbox platforms running amd tech a keynote address ces .,"[104.1348934877215, 76.64999717161702]"
110,110,2019-01-10 23:59:46+00:00,amazon developing new game streaming service compete microsoft google,"[29.527338921412753, 19.007736356873966]"
111,111,2020-11-25 17:06:25+00:00,learn the new cloud like way manage premise databases this depth article rds on vmware cloud solution architect blogger satyashr,"[64.00006532285462, 84.31429844722402]"
112,112,2019-01-10 23:59:41+00:00,silver badge earned microsoft sudoku share game progress your friends i got silver badge in the daily challenges microsoft sudoku earn enough coins you get one,"[98.19720228937028, 109.23678646024129]"
113,113,2019-01-10 23:59:30+00:00,"ronnochamilton bungie majornelson xboxp halos done, bungie ended with reach, microsoft other plans. look how halo ended, concluded story.","[41.277253767875166, 43.70595150179803]"
114,114,2019-01-10 23:58:52+00:00,"check our next event "" week digital transformation microsoft power bi"" eventbrite","[25.50505845929951, 35.47267194261715]"
115,115,2019-01-10 23:58:33+00:00,how microsoft lost web,"[4.396031075208751, 19.557262128841906]"
116,116,2019-01-10 23:58:22+00:00,rt satyanadella introducing new capabilities microsoft teams empower more billion firstline workers around world do best work via carainholland,"[51.30908457878461, 38.210222922856566]"
117,117,2019-01-10 23:58:14+00:00,"mooch mooch bungie returned home, would still released destiny playstation? will ponies accept if were back the first party lineup microsoft? i would like see other projects want do addition destiny","[33.77050294117799, 26.44142048853468]"
118,118,2019-01-10 23:58:09+00:00,"microsoft launches xbox game pass quests, giving players chance earn rewards for…","[29.67623181949428, 33.444178869277586]"
119,119,2019-01-10 23:58:04+00:00,amazon developing new game streaming service compete microsoft google,"[29.527338921412753, 19.007736356873966]"
120,120,2019-01-10 23:57:27+00:00,"microsoft xbox today a good day. goodbye s, hello x","[20.042717787076842, 17.528763601608464]"
121,121,2019-01-11 23:59:33+00:00,"mary ligialeea cher bad illegals come in thru canada &amp; on planes, don walkin the clothes their backs seeking asylum which is illegal. immigration the lowest history, immigrants pay more taxes than rump, google, amazon, microsoft, apple &amp; all big business who pay ""no taxes""","[55.924913444523035, 69.17593432228847]"
122,122,2020-10-07 16:05:12+00:00,sign petition tell nj officials oppose energy monopoly new jersey.,"[29.010091990074663, 29.406126872195944]"
123,123,2019-01-11 23:59:25+00:00,"exclusive microsoft, google, and apple to implement live device access within months alexjones closersangels closernation","[38.72294623524365, 38.96537006191256]"
124,124,2019-01-11 23:59:21+00:00,seattle home world most valuable companies amazon &amp; microsoft via /r/technology,"[40.765686852584984, 28.597425662458807]"
125,125,2019-01-11 23:58:44+00:00,"microsoft linkedin report card technology integration continues, at slow pace zdnet general physics laboratory gpl microsoft linkedin report card technology integration continues, at slow ...","[78.59943820166403, 70.08951552619547]"
